#Frame       Nb108bp1        Trop2
       1       1.2571       2.7496
       2       1.0952       2.6993
       3       1.1093       2.7104
       4       1.1536       2.4666
       5       1.2655       2.5096
       6       1.2093       2.6178
       7       1.2464       2.8867
       8       1.0759       3.1069
       9       1.1072       2.9818
      10       1.0716       3.2283
      11       1.1139       2.9523
      12       1.1353       2.7930
      13       1.2032       2.5969
      14       1.0424       2.8816
      15       1.1350       2.8619
      16       1.2067       2.8439
      17       1.2470       2.7120
      18       1.3328       2.4395
      19       1.3178       2.4672
      20       1.1265       2.7715
      21       1.2492       2.7056
      22       1.1285       2.3126
      23       1.2883       2.7116
      24       1.2488       2.4718
      25       1.1569       2.6084
      26       1.2388       2.5719
      27       1.1397       2.5669
      28       1.2650       2.4835
      29       1.1645       2.3913
      30       1.1142       2.8434
      31       1.1919       2.9232
      32       1.2978       2.7619
      33       1.1991       2.9734
      34       1.0695       3.0062
      35       1.2344       2.8419
      36       1.2634       2.6686
      37       1.2432       2.7123
      38       1.0783       2.9011
      39       1.1053       2.8275
      40       1.1497       3.2347
      41       1.2795       3.4025
      42       1.2373       3.1414
      43       1.3472       2.6683
      44       1.2352       2.8369
      45       1.2735       3.0716
      46       1.2126       2.9597
      47       1.2815       2.8803
      48       1.0693       2.3467
      49       1.0126       3.0329
      50       1.1452       3.3422
      51       1.1601       3.6430
      52       1.1060       3.2951
      53       1.2223       2.9510
      54       1.1807       3.4915
      55       1.1747       3.3329
      56       1.0434       3.3031
      57       1.1509       3.1732
      58       1.2162       3.3603
      59       1.1482       3.1374
      60       1.1368       3.4880
      61       1.1359       3.4091
      62       1.1875       3.4230
      63       1.1800       3.4584
      64       1.0962       3.5285
      65       1.0832       3.3810
      66       1.1133       3.9158
      67       1.1004       4.1924
      68       1.1707       3.9710
      69       1.0553       3.7294
      70       1.0130       3.6455
      71       1.1241       3.4328
      72       1.1364       3.7548
      73       1.0105       3.5132
      74       1.0035       3.6898
      75       1.1128       3.6433
      76       1.1619       3.7494
      77       1.0994       3.6972
      78       1.0287       3.6202
      79       1.1774       3.7293
      80       1.2590       3.5707
      81       1.2555       3.7561
      82       1.1303       3.6003
      83       0.9998       3.4803
      84       0.9917       3.4225
      85       1.0634       3.5192
      86       1.1621       3.5877
      87       0.9875       3.1073
      88       1.0388       3.5365
      89       1.0579       3.3763
      90       1.1441       3.5306
      91       1.1888       3.5361
      92       1.1618       3.4227
      93       1.0661       3.5167
      94       1.1465       3.4522
      95       1.0776       3.4573
      96       1.1001       3.4991
