#Frame          Trop2     Nanobody
       1       2.7802       1.2816
       2       2.9640       1.3279
       3       3.1164       1.0851
       4       2.7243       1.2264
       5       2.8573       1.2408
       6       2.8169       1.0795
       7       2.4993       1.2494
       8       2.4465       1.1633
       9       2.3012       1.0861
      10       2.5618       1.1285
      11       2.6682       1.3113
      12       2.7561       1.2259
      13       2.7269       1.1421
      14       2.4067       1.1980
      15       2.3932       1.2576
      16       2.8263       1.1959
      17       2.5913       1.2139
      18       2.5815       1.1664
      19       2.3166       1.1914
      20       2.2223       1.2728
      21       2.2346       1.2823
      22       2.4358       1.2230
      23       2.4084       1.3916
      24       2.7373       1.3381
      25       2.9519       1.1279
      26       2.8119       1.3442
      27       2.5639       1.1371
      28       2.6851       1.2058
      29       3.0104       1.1650
      30       2.9624       1.1399
      31       3.3497       1.0679
      32       3.3068       1.2569
      33       3.0993       1.4176
      34       3.3506       1.4296
      35       3.5322       1.3265
      36       3.6443       1.0649
      37       3.7935       1.0616
      38       4.1374       1.1968
      39       3.8800       1.2940
      40       4.1054       1.2371
      41       3.9932       1.1393
      42       4.2515       1.2562
      43       4.1995       1.3204
      44       4.3960       1.3814
      45       4.4244       1.2737
      46       4.6608       1.1923
      47       4.8253       1.3094
      48       4.9867       1.0869
      49       4.8670       1.3323
      50       4.6228       1.4766
      51       4.6924       1.2253
      52       4.9047       1.2316
      53       4.9677       1.2205
      54       4.9564       1.2366
      55       4.6702       1.2236
      56       4.7357       1.0346
      57       4.8230       1.2209
      58       4.7111       1.3487
      59       4.8092       1.2865
      60       4.7898       1.2073
      61       4.5066       1.3103
      62       4.9327       1.1692
      63       4.8470       1.1953
      64       4.8431       1.2188
      65       4.6538       1.3627
      66       4.7560       1.2597
      67       4.7344       1.2806
      68       4.4873       1.2847
      69       4.5711       1.2210
      70       4.6839       1.0775
      71       4.7712       1.0368
      72       4.4654       1.1151
      73       4.4697       1.1904
      74       4.7932       1.3225
      75       4.5452       1.1963
      76       4.7216       1.2339
      77       4.4331       1.1731
      78       4.8486       1.1751
      79       4.7771       1.3001
      80       4.6637       1.2391
      81       4.5587       1.1536
      82       4.4914       1.1116
      83       4.5756       1.2178
      84       4.7946       1.2479
      85       4.8269       1.2775
      86       4.6066       1.2288
      87       4.8160       1.3708
      88       4.8315       1.2623
      89       4.6881       1.3241
      90       4.9169       1.2788
      91       4.6929       1.2737
      92       4.7338       1.2860
      93       4.7510       1.4732
      94       4.6065       1.3309
      95       4.6387       1.2727
      96       4.6806       1.3555
      97       4.5592       1.3666
      98       4.6989       1.2835
      99       4.6105       1.3828
     100       4.5311       1.6310
     101       4.1815       1.3876
     102       4.3869       1.3626
     103       4.3380       1.3511
     104       4.0634       1.3494
     105       4.0883       1.2863
     106       4.2573       1.4983
     107       4.3186       1.3451
     108       3.9735       1.5520
     109       4.1890       1.3226
     110       4.1856       1.4188
     111       4.4406       1.3951
     112       4.2941       1.5574
     113       4.2716       1.5492
     114       4.1289       1.5056
     115       3.9785       1.7891
     116       3.8980       1.7408
     117       3.9664       1.6377
     118       4.0064       1.5959
     119       4.4247       1.7560
     120       3.7117       1.5056
     121       3.8462       1.6816
     122       3.7450       1.5679
     123       3.9360       1.8082
     124       3.8882       1.5981
     125       4.1924       1.4414
     126       4.0553       1.5708
     127       4.1453       1.5197
     128       4.1258       1.6324
     129       4.2356       1.6527
     130       4.2982       1.7584
     131       4.2846       1.6953
     132       4.2008       1.5286
     133       4.3064       1.2811
     134       4.3540       1.4463
     135       4.5996       1.6071
     136       4.4843       1.4629
     137       4.5576       1.5908
     138       4.4179       1.6349
     139       4.4774       1.4363
     140       4.3656       1.7573
     141       4.4269       1.4315
     142       4.3041       1.7109
     143       4.2948       1.5465
     144       4.3998       1.6077
     145       4.4602       1.8550
     146       4.4660       1.5977
     147       4.3034       1.6955
     148       4.3119       1.6777
     149       4.2659       1.7177
     150       4.3699       1.6487
     151       4.5431       1.7535
     152       4.3667       1.7165
     153       4.6295       1.6827
     154       4.3482       1.5248
     155       4.4262       1.5601
     156       4.4728       1.5219
     157       4.5644       1.5149
     158       4.4299       1.9101
     159       4.5470       1.6204
     160       4.5605       1.7852
     161       4.3512       1.7212
     162       4.3889       1.4655
     163       4.4004       1.5730
     164       4.3852       1.5025
     165       4.6778       1.4411
     166       4.4436       1.5539
     167       4.3207       1.6205
     168       4.3070       1.6608
     169       4.1895       1.6202
     170       4.0643       1.7056
     171       4.2896       1.4372
     172       4.3668       1.7019
