#Frame        Nb65bp2        Trop2
       1       1.2141       2.1019
       2       1.1183       2.4958
       3       1.1217       2.2555
       4       1.1966       2.5324
       5       1.1604       2.4965
       6       1.1004       2.6282
       7       1.2012       2.6742
       8       1.1438       2.4783
       9       1.0739       2.5756
      10       1.0881       2.5130
      11       1.0507       2.4551
      12       1.1369       2.3731
      13       1.0559       2.4144
      14       1.0029       2.8168
      15       1.0530       2.6571
      16       1.0521       2.5671
      17       1.0598       2.5798
      18       1.0844       2.5259
      19       1.1204       2.4941
      20       1.0953       2.6315
      21       1.0013       2.7604
      22       1.0921       2.8389
      23       1.0111       2.7639
      24       1.1842       2.8223
      25       1.1859       2.6622
      26       1.3106       2.4310
      27       1.2576       2.6001
      28       1.3482       2.7057
      29       1.2526       2.7992
      30       1.4657       3.1046
      31       1.5592       3.3343
      32       1.2608       3.0767
      33       1.1860       2.8527
      34       1.1116       2.7456
      35       1.2462       2.9174
      36       1.2870       2.7827
      37       1.2188       2.7814
      38       1.2271       2.5703
      39       1.1050       2.5166
      40       1.2739       2.6421
      41       1.1632       2.6938
      42       1.0588       3.0331
      43       1.1760       3.0050
      44       1.2314       2.9130
      45       1.1401       3.0480
      46       1.2007       2.8036
      47       1.2265       2.7922
      48       1.2250       2.8275
      49       1.1830       2.9121
      50       1.0050       2.8960
      51       1.1447       2.8530
      52       1.1284       2.7808
      53       1.1531       3.0990
      54       1.0482       3.2919
      55       0.9889       3.1747
      56       1.0576       3.1480
      57       1.0977       3.4679
      58       1.0765       3.2105
      59       1.1343       2.9180
      60       1.1802       2.9166
      61       1.2719       2.7277
      62       1.0962       2.9160
      63       1.1686       2.9517
      64       1.0210       3.3036
      65       1.0869       3.2807
      66       1.0134       3.4322
      67       1.0880       3.5110
      68       1.0310       3.3613
      69       0.9554       3.1963
      70       1.1596       3.4780
      71       1.1416       3.4415
      72       1.2087       3.1896
      73       1.0212       3.0306
      74       1.1210       2.9157
      75       1.0570       3.2341
      76       1.0776       2.9987
      77       1.0940       2.9731
      78       1.1415       2.7824
      79       1.3303       3.0066
      80       1.0853       3.0226
      81       1.0830       2.7772
      82       1.1095       3.3492
      83       1.0491       3.4484
      84       1.0492       3.0379
